University,Latitude,Longitude,Webiste,UniversityType,Ranking(2019 US News),Property,Location,CampusSetting,SchoolName,DegreeName,TypeofDegree,tuition alone(In-state),tuition alone(out of state),full time or part time,Program length(if full time),UX/Interaction design,hci,Data viz/ infor viz,game,interactive computing technologies,Information technoloy,Cognitive science,human factor
Massachusetts Institute of Technology (MIT),71.0942,42.3601,https://www.media.mit.edu/graduate-program/about-media-arts-sciences/,national,#3,private,"Cambridge, MA",urban,Media Lab,Master’s in Media Arts and Sciences (MAS),MAS,free,free,full,2,n/a,,,,,,,
Univerisy of Miami,80.2771,25.7192,https://interactive.miami.edu/,national,#53,Private,"Coral Gobals, FL",Suburban,COM,Interactive Media,MFA,91350,91350,either,2,UX/Interaction design,,Data viz/ infor viz,game,interactive computing technologies,-,-,
Univerisy of Washington,122.2727,47.655548,https://www.hcde.washington.edu/ms,national,#59,Public,"Seatle, WA",Urban,Human centered design &engineering,Human centered design and engineering,MS,38208,38208,either,2,UX/Interaction design,,Data viz/ infor viz,-,-,-,-,
Univerisy of Washington,122.2727,47.655548,https://mhcid.washington.edu/,national,#59,Public,"Seatle, WA",Urban,Human centered design &engineering,Master of Human-Computer Interaction and Design,MS,49680,49680,either,1,UX/Interaction design,,-,-,interactive computing technologies,-,-,
UC Berkeley,122.2727,37.8716,https://www.ischool.berkeley.edu/programs/mims,national,#22,Public,"Berkeley, CA",Suburban,Information,information Management and Systems (MIMS),MIMS,15744,40234,full,2,UX/Interaction design,,Data viz/ infor viz,-,-,Information technoloy,-,
University of Michigan,42.278,83.7382,https://www.si.umich.edu/content/msi,national,#27,Public,"Ann Arbor, MI",urban,Information,information,MS,31688,42262,either,2,UX/Interaction design,hci,Data viz/ infor viz,-,interactive computing technologies,Information technoloy,-,
University of Maryland,38.9869,76.9426,https://ischool.umd.edu/graduate-admissions,national,#63,Public,"College Park, MD",Suburban,Information studies,HCI,MS,21510,46440,either,2,UX/Interaction design,hci,Data viz/ infor viz,-,interactive computing technologies,Information technoloy,-,
Carnegie Mellon University (CMU),40.4428,79.943,https://hcii.cmu.edu/academics/mhci,national,#25,Private,"Pittsburgh‎, Pennsylvania,",urban,Human-Computer Interaction Institute,Master of Human-Computer Interaction,MHCI,72000,72000,either,1,UX/Interaction design,hci,Data viz/ infor viz,-,interactive computing technologies,-,Cognitive science,
Carnegie Mellon University (CMU),40.4428,79.943,https://design.cmu.edu/content/master-design,national,#25,Private,"Pittsburgh‎, Pennsylvania,",urban,The School of Design,Master of Design (MDes),MDes,84000,84000,either,2,UX/Interaction design,-,-,-,-,-,-,
Carnegie Mellon University (CMU),40.4428,79.943,https://design.cmu.edu/content/master-arts-design,national,#25,Private,"Pittsburgh‎, Pennsylvania,",urban,The School of Design,Master of Arts in Design,ma,42000,42000,either,1,UX/Interaction design,-,-,-,-,-,-,
Carnegie Mellon University (CMU),40.4428,79.943,https://design.cmu.edu/content/master-professional-studies,national,#25,Private,"Pittsburgh‎, Pennsylvania,",urban,The School of Design,Master of Professional Studies,mpa,42000,42000,either,1,UX/Interaction design,-,-,-,-,-,-,
Northwestern University,42.055984,-87.675171,https://design.northwestern.edu/engineering-design-innovation/,national,#10,Private,"Evanston, Illinois",suburban,school of engineering,Master of Science in Engineering Design Innovation,ms,28104,28104,full,1.25,UX/Interaction design,-,-,-,-,-,-,
Indiana univeristy,39.1754,86.5126,https://www.sice.indiana.edu/graduate/degrees/informatics/hcid/,national,89,Public,"Bloomington, Indiana",suburban,"School of Informatics, Computing, and Engineering",ms in Human-Computer Interaction Design,MS,13837,47898,either,2,UX/Interaction design,hci,-,-,-,-,-,
NYU,40.7295,73.9965,https://engineering.nyu.edu/academics/programs/integrated-digital-media-ms,national,30,private,"New York, NY",urban,Tandon School of Engineering,"Integrated Digital Media, MS",MS,53940,53940,either,1.5,UX/Interaction design,hci,-,-,interactive computing technologies,-,-,
"University of California, Irvine",33.6405,117.844,https://mhcid.ics.uci.edu/,national,33,Public,"Irvine, CA",suburban,department of informatics,Master of Human-Computer Interaction & Design Program,MHCID,49500,49500,either,1,UX/Interaction design,hci,,,,,,
Cornell University,42.4534,76.4735,https://infosci.cornell.edu/masters/mps,national,16,private,"Ithaca, NY",rural,information science,The Master of Professional Studies (MPS) in Information Science,mps,54584,54584,either,1,UX/Interaction design,hci,,,interactive computing technologies,Information technoloy,,
Pennstate,40.7982,77.8599,https://ist.psu.edu/education/degree/ms,national,59,Public,"Old Main, State College, PA",‎rural,college of informton sciences and technology,ms in information,ms,24014,39504,full,2,UX/Interaction design,hci,,,,Information technoloy,,
Rutgers University,40.5008,74.4474,http://mbs.rutgers.edu/node/245,national,56,public,"Camden, New Jersey",urban,professional science master's program,Master of Business and Science in User Experience Design (UXD),mbs,42398,52503,either,2,UX/Interaction design,,,,,,,
Illinois Institute of Technology,41.8349,87.627,https://id.iit.edu/master-of-design/,national,96,private,Chicago,urban,institute of design,Master of Design,MDes,98004,98004,either,2,UX/Interaction design,,,,,,,
The new school(Parson),40.7353,73.9946,https://www.newschool.edu/parsons/mfa-design-technology/,Design school,-,private,"New York City,ny",urban,PARSONS SCHOOL OF DESIGN,DESIGN AND TECHNOLOGY,MFA,99688,99688,either,2,UX/Interaction design,,,,interactive computing technologies,,,
Rhode Island School of Design (RISD),41.8261,71.4075,http://www.digitalmedia.risd.edu/,Design school,-,private,"Providence, RI",urban,The Department of Digital + Media,The MFA in Digital + Media at RISD,mfa,97000,97000,either,2,UX/Interaction design,,,,,,,
School of Visual Arts,40.7388,73.9822,https://interactiondesign.sva.edu/,Design school,-,private(for-profit),"New York City, New York",urban,-,MFA in Interaction Design program,mfa,100200,100200,either,2,UX/Interaction design,,,,,,,
MICA(Maryland Institute College of Art (MICA),39.3076,76.6216,https://www.mica.edu/graduate-programs/ux-design-mps/,Design school,-,private,"Baltimore, Maryland‎,",urban,-,Masters of Professional Studies in UX Design,mps,70305,70305,either,1.5,UX/Interaction design,,,,,,,
tufts university,42.4075,71.119,https://engineering.tufts.edu/me/current/masters/hfe,national,27,private,"Middlesex County, Massachusetts",suburban,mechnical engineering,Master of Science in Human Factors Engineering,ms,51288,51288,either,1,UX/Interaction design,hci,-,-,interactive computing technologies,,Cognitive science,human factor
Bentley University,42.3868,71.2203,http://admissions.bentley.edu/graduate/masters-in-human-factors,regional,north 3,private,"Waltham, MA",,school of business,Master of Science in Human Factors in Information Design,ms,46200,46200,either,1,UX/Interaction design,hci,,,interactive computing technologies,Information technoloy,,human factor
San Jose State University,37.3352,121.8811,http://www.sjsu.edu/hfe/,Regional,"Universities West, 33",public,"San Jose, CA","urban,",college of engineering,Human Factors and Ergonomics Master's Degree Program,ms,15592,25096,either,1.5,UX/Interaction design,hci,,,interactive computing technologies,,,human factor
Philadelphia University+thomas jefferson univeristy,40.0187,75.1923,http://www.philau.edu/msintdesign/,Regional,"RegionalUniversities North, 15.",private,"Philadelphia, PA","urban,",school of design and engineering,M.S. in User Experience and Interaction Design,ms,36270,36270,either,2,UX/Interaction design,,,,,,Cognitive science,
Purdue University,40.4237,86.9212,https://polytechnic.purdue.edu/degrees/ms-computer-graphics-technology,national,56,public,"West Lafayette, IN",city,Department of Computer Graphics Technology,MS in Computer Graphics Technology,ms,19984,57588,either,2,UX/Interaction design,,Data viz/ infor viz,game,,,,
Kent State University,41.1491,81.3415,https://www.kent.edu/iSchool/master-science-user-experience-design-concentration,national,191,public,"Kent, OH",suburban,school of information,Master of Science concentration in user experience design (UXD),ms,23072,43048,either,2,UX/Interaction design,,,,,,,
Pratt Institute,40.6913,73.9625,https://www.pratt.edu/academics/information/degrees/information-experience-design-ms/,design school,-,private,"Brooklyn, NY",urban,-,Master of Science in Information Experience Design (IXD),ms,66492,66492,either,2,UX/Interaction design,,Data viz/ infor viz,,interactive computing technologies,,,human factor
Indiana University Purdue University Indianapolis (IUPUI),39.7739,86.1763,https://soic.iupui.edu/hcc/graduate/hci/,national,194,public,"Indianapolis, IN",urban,School of Informatics and Computing,Human-Computer Interaction Graduate Program,ms,12852,35182,either,2,UX/Interaction design,hci,Data viz/ infor viz,-,interactive computing technologies,Information technoloy,,
